rank,name,region,feeds,homepage,tier,enabled,notes
21,DW 德国之声,德国,https://rss.dw.com/rdf/rss-en-world;https://rss.dw.com/rdf/rss-en-business,https://www.dw.com,top30,1,英文世界+商业 欧洲视角
22,France 24,法国,https://www.france24.com/en/rss;https://www.france24.com/en/business/rss,https://www.france24.com/en,top30,1,英文全部+商业
23,NHK World Japan,日本,https://www3.nhk.or.jp/nhkworld/en/news/feed/,https://www3.nhk.or.jp/nhkworld,top30,1,日本放送协会英文世界新闻
24,Nikkei Asia,日本/亚洲,https://asia.nikkei.com/rss/feed/topstories;https://asia.nikkei.com/rss/feed/politics,https://asia.nikkei.com,top30,1,亚洲政经头条
25,Sky News,英国,https://feeds.skynews.com/feeds/rss/world.xml;https://feeds.skynews.com/feeds/rss/business.xml,https://news.sky.com,top30,1,世界+商业
26,The Telegraph,英国,https://www.telegraph.co.uk/world-news/rss.xml;https://www.telegraph.co.uk/business/rss.xml,https://www.telegraph.co.uk,top30,1,世界+商业
27,CBC News,加拿大,https://www.cbc.ca/webfeed/rss/rss-world;https://www.cbc.ca/webfeed/rss/rss-business,https://www.cbc.ca,top30,1,世界+商业
28,ABC News Australia,澳大利亚,https://www.abc.net.au/news/feed/51120/rss.xml,https://www.abc.net.au/news,top30,1,世界新闻 印太视角
29,Times of India,印度,https://timesofindia.indiatimes.com/rssfeeds/296589292.cms;https://timesofindia.indiatimes.com/rssfeeds/1898055.cms,https://timesofindia.indiatimes.com,top30,1,世界+商业 印度第一大英文报
30,South China Morning Post,中国香港,https://www.scmp.com/rss/91/feed;https://www.scmp.com/rss/92/feed,https://www.scmp.com,top30,1,世界+中国/亚洲商业
31,TASS 塔斯社,俄罗斯,https://tass.com/rss/v2.xml,https://tass.com,extra,0,俄罗斯国家通讯社 可选启用
32,RT,俄罗斯,https://www.rt.com/rss/news/,https://www.rt.com,extra,0,俄罗斯官方英文媒体 可选启用
33,Xinhua 新华社,中国,http://www.xinhuanet.com/english/rss/worldrss.xml,http://www.xinhuanet.com/english,extra,0,中国国家通讯社英文 可选启用
34,CGTN,中国,https://www.cgtn.com/subscribe/rss/section/world.xml,https://www.cgtn.com,extra,0,中国国际电视台 可选启用
35,Anadolu Agency,土耳其,https://www.aa.com.tr/en/rss/default?cat=latest,https://www.aa.com.tr/en,extra,0,土耳其国家通讯社 可选启用
36,The Straits Times,新加坡,https://www.straitstimes.com/news/world/rss.xml,https://www.straitstimes.com,extra,0,东南亚视角 可选启用
37,Hindustan Times,印度,https://www.hindustantimes.com/feeds/rss/world-news/rssfeed.xml,https://www.hindustantimes.com,extra,0,可选启用
38,The Independent,英国,https://www.independent.co.uk/news/world/rss,https://www.independent.co.uk,extra,0,可选启用
39,Sydney Morning Herald,澳大利亚,https://www.smh.com.au/rss/world.xml,https://www.smh.com.au,extra,0,可选启用
40,Times of Israel,以色列,https://www.timesofisrael.com/feed/,https://www.timesofisrael.com,extra,0,中东能源要地 可选启用
41,Middle East Eye,中东,https://www.middleeasteye.net/rss,https://www.middleeasteye.net,extra,0,中东地区报道 可选启用
42,MarketWatch,美国,http://feeds.marketwatch.com/marketwatch/topstories/,https://www.marketwatch.com,extra,0,市场快讯 可选启用
43,Yahoo Finance,美国,https://finance.yahoo.com/news/rssindex,https://finance.yahoo.com,extra,0,可选启用
44,Forbes Business,美国,https://www.forbes.com/business/feed/,https://www.forbes.com/business,extra,0,可选启用
45,Business Insider,美国,https://www.businessinsider.com/rss,https://www.businessinsider.com,extra,0,可选启用
